Calculation accuracy - 1E-07
  i                               (x, y)        f(x, y)                            S         lambda          angle       delta(X)       delta(Y)       delta(f)                     Gradient
 44     (6,22258501E-01, 3,85385412E-01)     1,4302E-01     (3,7318E-02, -3,1001E-02)     -2,5083E-03     1,2477E+00     -9,3604E-05     7,7759E-05     -3,7856E-06     (-3,0242E-01, -3,6405E-01)
 45     (6,22360062E-01, 3,85321103E-01)     1,4302E-01     (-7,1337E-03, 4,5171E-03)     -1,4237E-02     2,0227E+00     1,0156E-04     -6,4309E-05     -3,6516E-06     (-2,5467E-01, -4,0219E-01)
 46     (6,22267886E-01, 3,85397737E-01)     1,4301E-01     (3,6542E-02, -3,0381E-02)     -2,5224E-03     1,2481E+00     -9,2175E-05     7,6633E-05     -3,6734E-06     (-3,0256E-01, -3,6392E-01)
 47     (6,22367784E-01, 3,85334165E-01)     1,4301E-01     (-7,2728E-03, 4,6282E-03)     -1,3736E-02     2,0205E+00     9,9897E-05     -6,3572E-05     -3,5449E-06     (-2,5550E-01, -4,0150E-01)
 48     (6,22276986E-01, 3,85409714E-01)     1,4301E-01     (3,5786E-02, -2,9776E-02)     -2,5372E-03     1,2485E+00     -9,0797E-05     7,5549E-05     -3,5667E-06     (-3,0269E-01, -3,6379E-01)
 49     (6,22375281E-01, 3,85346856E-01)     1,4300E-01     (-7,4140E-03, 4,7411E-03)     -1,3258E-02     2,0183E+00     9,8295E-05     -6,2857E-05     -3,4435E-06     (-2,5632E-01, -4,0083E-01)
 50     (6,22285815E-01, 3,85421359E-01)     1,4300E-01     (3,5049E-02, -2,9187E-02)     -2,5526E-03     1,2489E+00     -8,9467E-05     7,4503E-05     -3,4653E-06     (-3,0283E-01, -3,6366E-01)
 51     (6,22382568E-01, 3,85359195E-01)     1,4300E-01     (-7,5574E-03, 4,8557E-03)     -1,2802E-02     2,0161E+00     9,6753E-05     -6,2164E-05     -3,3470E-06     (-2,5711E-01, -4,0017E-01)
 52     (6,22294384E-01, 3,85432692E-01)     1,4299E-01     (3,4331E-02, -2,8613E-02)     -2,5686E-03     1,2493E+00     -8,8184E-05     7,3496E-05     -3,3689E-06     (-3,0298E-01, -3,6352E-01)
 53     (6,22389652E-01, 3,85371199E-01)     1,4299E-01     (-7,7030E-03, 4,9720E-03)     -1,2368E-02     2,0140E+00     9,5268E-05     -6,1492E-05     -3,2553E-06     (-2,5789E-01, -3,9954E-01)
 54     (6,22302707E-01, 3,85443725E-01)     1,4299E-01     (3,3631E-02, -2,8054E-02)     -2,5853E-03     1,2498E+00     -8,6945E-05     7,2526E-05     -3,2772E-06     (-3,0312E-01, -3,6339E-01)
 55     (6,22396546E-01, 3,85382884E-01)     1,4298E-01     (-7,8509E-03, 5,0902E-03)     -1,1953E-02     2,0120E+00     9,3839E-05     -6,0841E-05     -3,1680E-06     (-2,5864E-01, -3,9892E-01)
 56     (6,22310795E-01, 3,85454475E-01)     1,4298E-01     (3,2948E-02, -2,7508E-02)     -2,6026E-03     1,2502E+00     -8,5750E-05     7,1591E-05     -3,1900E-06     (-3,0327E-01, -3,6325E-01)
 57     (6,22403259E-01, 3,85394264E-01)     1,4298E-01     (-8,0009E-03, 5,2101E-03)     -1,1557E-02     2,0100E+00     9,2463E-05     -6,0211E-05     -3,0850E-06     (-2,5937E-01, -3,9831E-01)
 58     (6,22318661E-01, 3,85464955E-01)     1,4297E-01     (3,2282E-02, -2,6975E-02)     -2,6206E-03     1,2506E+00     -8,4598E-05     7,0691E-05     -3,1071E-06     (-3,0342E-01, -3,6311E-01)
 59     (6,22409802E-01, 3,85405354E-01)     1,4297E-01     (-8,1533E-03, 5,3318E-03)     -1,1178E-02     2,0080E+00     9,1141E-05     -5,9601E-05     -3,0061E-06     (-2,6009E-01, -3,9772E-01)
 60     (6,22326313E-01, 3,85475180E-01)     1,4297E-01     (3,1633E-02, -2,6456E-02)     -2,6393E-03     1,2511E+00     -8,3488E-05     6,9826E-05     -3,0283E-06     (-3,0357E-01, -3,6297E-01)
